doc_id,year,state_district,filing_type,last_name,first_name,prefix,suffix,filing_date,pdf_status,pdf_type,page_count,pdf_bytes,pdf_path,pdf_url
10029597,2018,CA37,A,Bass,Karen,Hon.,,10/16/2019,stashed,text,3,89404,data/stashed/pdfs/2018/10029597.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10029597.pdf
10027877,2018,CA37,O,Bass,Karen,Hon.,,8/13/2019,stashed,text,3,88710,data/stashed/pdfs/2018/10027877.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027877.pdf
30005733,2018,CA37,X,Bass,Karen,Hon.,,5/15/2019,stashed,text,1,45282,data/stashed/pdfs/2018/30005733.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30005733.pdf
10022497,2018,CA37,C,Bassilian,Ron,,,5/13/2018,stashed,text,2,54030,data/stashed/pdfs/2018/10022497.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022497.pdf
10021674,2018,CA04,C,Bateson,Regina,,,5/14/2018,stashed,text,3,87996,data/stashed/pdfs/2018/10021674.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10021674.pdf
9114139,2018,LA02,D,Batiste,Belden Noonie Man,Mr.,Sr.,10/31/2018,stashed,image,1,26640,data/stashed/pdfs/2018/9114139.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114139.pdf
6610,2018,CA48,W,Baugh,Scott,,,4/16/2019,stashed,text,1,43221,data/stashed/pdfs/2018/6610.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/6610.pdf
10028140,2018,TX01,C,Beal,Brent,,,5/22/2019,stashed,text,2,60926,data/stashed/pdfs/2018/10028140.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10028140.pdf
10023272,2018,NY19,C,Beals,Jeffrey,,,5/25/2018,stashed,text,2,57235,data/stashed/pdfs/2018/10023272.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023272.pdf
30004674,2018,NY19,X,Beals,Jeffrey,,,6/6/2018,stashed,text,1,45465,data/stashed/pdfs/2018/30004674.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004674.pdf
10028853,2018,OH03,A,Beatty,Joyce,Hon.,,7/26/2019,stashed,text,4,69507,data/stashed/pdfs/2018/10028853.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10028853.pdf
10027806,2018,OH03,O,Beatty,Joyce,Hon.,,5/15/2019,stashed,text,4,69433,data/stashed/pdfs/2018/10027806.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10027806.pdf
10024655,2018,IN04,A,Beck,Tobi,,,9/13/2018,stashed,text,3,84129,data/stashed/pdfs/2018/10024655.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024655.pdf
10024640,2018,IN04,C,Beck,Tobi,,,9/7/2018,stashed,text,2,82389,data/stashed/pdfs/2018/10024640.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024640.pdf
9113978,2018,,W,Bedell,Eileen McNeil,,,,stashed,image,1,32040,data/stashed/pdfs/2018/9113978.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113978.pdf
