Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Bhuiyan	Mohammad Ali		X	GA06	2017	3/22/2017	30002747
	Biggan	John		C	TX24	2017	2/1/2018	10019287
	Biggan	John		X	TX24	2017	11/13/2017	30003775
	Biggan	John		X	TX24	2017	12/22/2017	30003852
Dr.	Biggins	Julia Elizabeth		C	VA10	2017	2/18/2018	10019925
Hon.	Biggs	Andy		A	AZ05	2017	5/13/2019	10027307
Hon.	Biggs	Andy		O	AZ05	2017	5/14/2018	10021638
	Bignell	Mark		D	MI04	2017	11/16/2017	40000997
	Bignell	Mark Ellis		W		2017		9112485
Hon.	Bilirakis	Gus M.		O	FL12	2017	7/13/2018	9113522
Hon.	Bilirakis	Gus M.		P	FL12	2017	9/26/2017	9111826
Hon.	Bilirakis	Gus M.		P	FL12	2017	1/9/2018	9112243
Hon.	Bilirakis	Gus M.		X	FL12	2017	5/24/2018	9113154
	Billie	Joseph Michael		C	PA07	2017	6/8/2017	10017573
	Billups	Willie Kailawn		C	TX33	2017	1/22/2018	10019739
	Birkenstock	Veronica		C	TX26	2017	9/18/2017	10017596
	Birkenstock	Veronica		X	TX26	2017	6/28/2017	30003446
	Birkenstock	Veronica		X	TX26	2017	8/25/2017	30003676
Hon.	Bishop	Michael D.		O	MI08	2017	6/6/2018	10023388
Hon.	Bishop	Rob		O	UT01	2017	5/11/2018	10022362
Hon.	Bishop	Sanford D.	Jr.	O	GA02	2017	5/10/2018	10021938
Mr.	Bjorkman	Timothy W.		C	SD00	2017	8/2/2017	10018387
Hon.	Black	Diane		A	TN06	2017	5/16/2018	9112861
Hon.	Black	Diane		O	TN06	2017	5/14/2018	9112860
Hon.	Black	Diane		P	TN06	2017	2/7/2017	9110430
Hon.	Black	Diane		P	TN06	2017	3/28/2017	9110596
Hon.	Black	Diane		P	TN06	2017	5/5/2017	9110713
Hon.	Black	Diane		P	TN06	2017	5/23/2017	9110837
Hon.	Black	Diane		P	TN06	2017	7/17/2017	9111448
Hon.	Black	Diane		P	TN06	2017	10/2/2017	9111848
Hon.	Black	Diane		P	TN06	2017	10/11/2017	9111877
Hon.	Black	Diane		P	TN06	2017	11/8/2017	9112023
Hon.	Blackburn	Marsha		O	TN07	2017	8/3/2018	10021972
Hon.	Blackburn	Marsha		X	TN07	2017	5/9/2018	30004205
	Blankenship	Seth Braden		C	NC10	2017	1/11/2018	10019470
	Blankenship	Seth Braden		D	NC10	2017	11/29/2017	40001032
Dr.	Bledsoe	William D.		C	SC05	2017	3/20/2018	10020061
Dr.	Blesdoe Dvm	William D.		C	SC05	2017	3/6/2017	10014618
	Bliatout	Bobby		C	CA22	2017	8/10/2017	10018536
	Bloom	Steve		C	PA11	2017	9/8/2017	10018868
Hon.	Blum	Rodney Leland		O	IA01	2017	8/12/2018	10022188
Hon.	Blum	Rodney Leland		P	IA01	2017	8/31/2017	20007916
Hon.	Blum	Rodney Leland		P	IA01	2017	8/31/2017	20007916
Hon.	Blum	Rodney Leland		X	IA01	2017	5/15/2018	30004577
Hon.	Blumenauer	Earl		O	OR03	2017	5/7/2018	10020343
Hon.	Blumenauer	Earl		P	OR03	2017	1/6/2017	20006495
Hon.	Blumenauer	Earl		P	OR03	2017	2/8/2017	20006724
Hon.	Blumenauer	Earl		P	OR03	2017	2/23/2017	20006801
Hon.	Blumenauer	Earl		P	OR03	2017	3/20/2017	20006949
Hon.	Blumenauer	Earl		P	OR03	2017	5/2/2017	20007179
Hon.	Blumenauer	Earl		P	OR03	2017	5/23/2017	20007349
Hon.	Blumenauer	Earl		P	OR03	2017	6/1/2017	20007383
Hon.	Blumenauer	Earl		P	OR03	2017	8/22/2017	20007881
Hon.	Blumenauer	Earl		P	OR03	2017	9/12/2017	20007945
Hon.	Blumenauer	Earl		P	OR03	2017	11/20/2017	20008424
Hon.	Blumenauer	Earl		P	OR03	2017	11/28/2017	20008454
Hon.	Blunt Rochester	Lisa		O	DE00	2017	5/10/2018	10021276
Hon.	Blunt Rochester	Lisa		P	DE00	2017	5/5/2017	20007207
Hon.	Blunt Rochester	Lisa		P	DE00	2017	5/5/2017	20007207
Hon.	Blunt Rochester	Lisa		P	DE00	2017	7/5/2017	20007570
Hon.	Blunt Rochester	Lisa		P	DE00	2017	7/5/2017	20007570
Hon.	Blunt Rochester	Lisa		P	DE00	2017	8/3/2017	20007733
Hon.	Blunt Rochester	Lisa		P	DE00	2017	8/3/2017	20007733
