Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Mr.	Price	Phillip G.		C	NC11	2020	2/10/2020	10033614
	Pruett	Dasha		D	PA05	2020	1/31/2020	40002865
Hon.	Rice	Tom		P	SC07	2020	1/13/2020	20013909
Hon.	Rice	Tom		P	SC07	2020	3/2/2020	20016152
Hon.	Rice	Tom		P	SC07	2020	3/16/2020	20016251
Hon.	Roe	David P.		P	TN01	2020	2/14/2020	8216972
Hon.	Roe	David P.		P	TN01	2020	3/12/2020	8217084
Hon.	Rogers	Harold Dallas		P	KY05	2020	2/19/2020	8216974
Hon.	Rooney	Francis		P	FL19	2020	1/15/2020	8216915
Hon.	Rooney	Francis		P	FL19	2020	2/25/2020	8217006
Hon.	Rouzer	David Cheston		P	NC07	2020	2/27/2020	20016128
Hon.	Rutherford	John		P	FL04	2020	1/23/2020	20014952
	Sajna	Cyrus Mr		C	TX14	2020	1/31/2020	10033561
Dr.	Salter	Carolyn Frances		C	TX05	2020	3/16/2020	10034737
	Scaife	Delano Michael		D	IN01	2020	2/27/2020	8217029
Hon.	Schiff	Adam B.		P	CA28	2020	1/8/2020	8216880
Hon.	Schrader	Kurt		P	OR05	2020	2/6/2020	8216960
Hon.	Schrader	Kurt		P	OR05	2020	3/4/2020	8217051
Hon.	Schrier	Kim		P	WA08	2020	1/29/2020	20014972
Hon.	Schrier	Kim		P	WA08	2020	3/8/2020	20016189
Hon.	Scott	Austin		P	GA08	2020	2/26/2020	9115545
	Shelton	Kim		D	MD04	2020	2/20/2020	8216995
Hon.	Sherrill	Mikie		P	NJ11	2020	1/3/2020	20012366
Hon.	Sherrill	Mikie		P	NJ11	2020	1/10/2020	20013877
Hon.	Sherrill	Mikie		P	NJ11	2020	2/19/2020	20015059
	Sigmon	Jason		C	TX32	2020	3/17/2020	10034700
	Smith	Susan Marie		D	IN07	2020	2/12/2020	8216979
Hon.	Smucker	Lloyd K.		P	PA11	2020	1/24/2020	20014943
Mr.	Stevenson	Dylan		D	NY10	2020	2/20/2020	8216988
Hon.	Taylor	Nicholas Van		P	TX03	2020	1/7/2020	20013833
Hon.	Taylor	Nicholas Van		P	TX03	2020	2/7/2020	20015002
Hon.	Taylor	Nicholas Van		P	TX03	2020	3/7/2020	20016143
Mr.	Truex	Donald Daryl		D	OH13	2020	3/6/2020	8217071
Hon.	Upton	Fred		P	MI06	2020	2/19/2020	8216975
Dr.	Vayda	Daniel Michael		W	PA18	2020	3/4/2020	7699
Mr.	Vieira	Scott Anthony	Jr.	C	TN07	2020	2/22/2020	10034675
Mr.	Vieira	Scott Anthony	Jr.	D	TN07	2020	3/6/2020	8217072
Hon.	Wagner	Ann		P	MO02	2020	2/4/2020	8216961
Hon.	Wagner	Ann		P	MO02	2020	3/6/2020	8217065
	Wall	Christopher D.		A	TX31	2020	2/3/2020	10033591
	Wall	Christopher D.		C	TX31	2020	2/3/2020	10033577
	Washington	Kevin		W		2020		9115538
Mr.	Webb	Major Mike		D	VA08	2020	2/28/2020	8217042
	Weems	Eugene		C	CA31	2020	2/14/2020	10033651
Hon.	Welch	Peter		P	VT00	2020	1/5/2020	20013855
Hon.	Welch	Peter		P	VT00	2020	3/10/2020	20016171
Mr.	Weston	John Kael		C	UT02	2020	3/17/2020	10032456
Mr.	Weston	John Kael		D	UT02	2020	1/17/2020	40001844
	Wiley	Albert Lee	Jr	D	NC11	2020	2/26/2020	8217026
	Williams	Marcus W.		C	NC09	2020	1/31/2020	8216953
	Williams	Marcus W.		D	NC09	2020	1/30/2020	8216944
	Williams	Marcus W.		X	NC09	2020	2/6/2020	30008325
Hon.	Wittman	Robert J.		P	VA01	2020	2/12/2020	20015044
Hon.	Wittman	Robert J.		P	VA01	2020	3/9/2020	20016184
	Wright	Christopher Robert		C	FL09	2020	1/31/2020	10033566
Mr.	Young	Kenneth Sidney		C	CA24	2020	1/27/2020	10033528
